State,Year,Source,Total
California,2012,NatGas,2456371.0
California,2012,LPG,55405.0
California,2013,Biomass,294412.0
California,2013,Coal,38151.0
California,2013,Elec,891666.0
California,2013,FossFuel,5755210.0
California,2013,Geo,119556.0
California,2013,Hydro,226643.0
California,2013,NatGas,2483208.0
California,2013,LPG,54438.0
California,2014,Biomass,298473.0
California,2014,Coal,39486.0
California,2014,Elec,895939.0
California,2014,FossFuel,5702418.0
California,2014,Geo,117226.0
California,2014,Hydro,157213.0
California,2014,NatGas,2417476.0
California,2014,LPG,51472.0
Colorado,2010,Biomass,28210.0
Colorado,2010,Coal,382623.0
Colorado,2010,Elec,180555.0
Colorado,2010,FossFuel,1370758.0
Colorado,2010,Geo,721.0
Colorado,2010,Hydro,15398.0
Colorado,2010,NatGas,510877.0
Colorado,2010,LPG,16395.0
Colorado,2011,Biomass,30883.0
Colorado,2011,Coal,368871.0
Colorado,2011,Elec,182400.0
Colorado,2011,FossFuel,1304903.0
Colorado,2011,Geo,741.0
Colorado,2011,Hydro,20235.0
Colorado,2011,NatGas,481614.0
Colorado,2011,LPG,16036.0
Colorado,2012,Biomass,30680.0
Colorado,2012,Coal,370085.0
Colorado,2012,Elec,183174.0
Colorado,2012,FossFuel,1282352.0
Colorado,2012,Geo,759.0
Colorado,2012,Hydro,14247.0
Colorado,2012,NatGas,461056.0
Colorado,2012,LPG,15118.0
Colorado,2013,Biomass,35382.0
Colorado,2013,Coal,363532.0
Colorado,2013,Elec,182343.0
Colorado,2013,FossFuel,1303825.0
Colorado,2013,Geo,759.0
Colorado,2013,Hydro,11572.0
Colorado,2013,NatGas,487445.0
Colorado,2013,LPG,17952.0
Colorado,2014,Biomass,36073.0
Colorado,2014,Coal,350526.0
Colorado,2014,Elec,182189.0
Colorado,2014,FossFuel,1313834.0
Colorado,2014,Geo,759.0
Colorado,2014,Hydro,16831.0
Colorado,2014,NatGas,499668.0
Colorado,2014,LPG,16341.0
Connecticut,2010,Biomass,35716.0
Connecticut,2010,Coal,28711.0
Connecticut,2010,Elec,103697.0
Connecticut,2010,FossFuel,562060.0
Connecticut,2010,Geo,20.0
Connecticut,2010,Hydro,3811.0
Connecticut,2010,NatGas,203814.0
Connecticut,2010,LPG,9425.0
Connecticut,2011,Biomass,33958.0
Connecticut,2011,Coal,6081.0
Connecticut,2011,Elec,101879.0
Connecticut,2011,FossFuel,557282.0
Connecticut,2011,Geo,19.0
Connecticut,2011,Hydro,5513.0
Connecticut,2011,NatGas,236016.0
Connecticut,2011,LPG,10092.0
Connecticut,2012,Biomass,32800.0
Connecticut,2012,Coal,9290.0
