State,Year,TotalC,TotalP,TotalE,TotalPrice,BiomassC,CoalC,CoalP,CoalE,CoalPrice,ElecC,ElecE,ElecPrice,FossFuelC,GeoC,GeoP,HydroC,HydroP,NatGasC,NatGasE,NatGasPrice,LPGC,LPGE,LPGPrice,GDP,POPESTIMATE
California,2013,7665241.0,2390424.0,137050.7,24.85,294412.0,38151.0,0.0,129.5,3.39,891666.0,37028.1,42.01,5755210.0,119556.0,12307.0,226643.0,23755.0,2483208.0,14808.6,6.51,54438.0,1493.1,27.94,2215231.5,38431393.0
California,2014,7620082.0,2413494.0,137719.8,25.31,298473.0,39486.0,0.0,135.3,3.43,895939.0,39424.1,44.49,5702418.0,117226.0,12102.0,157213.0,16531.0,2417476.0,16127.9,7.39,51472.0,1424.7,28.42,2324995.5,38802500.0
Colorado,2010,1513547.0,2561459.0,16888.5,17.4,28210.0,382623.0,551825.0,609.9,1.59,180555.0,4786.2,26.9,1370758.0,721.0,0.0,15398.0,1578.0,510877.0,2574.0,6.6,16395.0,365.4,22.53,258148.25,5048575.0
Colorado,2011,1470445.0,2750097.0,19269.7,21.28,30883.0,368871.0,586847.0,637.0,1.73,182400.0,4963.2,27.61,1304903.0,741.0,0.0,20235.0,2083.0,481614.0,2334.4,6.79,16036.0,412.2,25.76,266796.25,5119661.0
Colorado,2012,1440781.0,2921385.0,19295.6,21.81,30680.0,370085.0,629645.0,689.4,1.86,183174.0,4987.6,27.63,1282352.0,759.0,0.0,14247.0,1497.0,461056.0,2064.6,6.32,15118.0,332.3,22.09,277646.75,5191709.0
Colorado,2013,1470844.0,2838193.0,19670.7,21.14,35382.0,363532.0,529096.0,703.4,1.93,182343.0,5258.2,29.01,1303825.0,759.0,0.0,11572.0,1213.0,487445.0,2355.3,6.35,17952.0,423.8,23.81,288809.0,5272086.0
Colorado,2014,1477177.0,3041634.0,19994.4,21.25,36073.0,350526.0,528242.0,683.5,1.95,182189.0,5345.7,29.52,1313834.0,759.0,0.0,16831.0,1770.0,499668.0,2686.4,7.13,16341.0,419.0,25.76,305366.75,5355866.0
Connecticut,2010,764970.0,203188.0,14245.0,25.62,35716.0,28711.0,0.0,99.1,3.45,103697.0,5283.1,50.95,562060.0,20.0,0.0,3811.0,391.0,203814.0,1743.7,8.86,9425.0,270.2,28.67,230357.25,3579345.0
Connecticut,2011,739130.0,195792.0,15498.1,28.13,33958.0,6081.0,0.0,22.4,3.68,101879.0,4881.5,47.91,557282.0,19.0,0.0,5513.0,567.0,236016.0,1788.9,7.79,10092.0,323.1,32.01,232270.75,3590537.0
Connecticut,2012,725019.0,205073.0,15126.6,28.66,32800.0,9290.0,0.0,33.3,3.59,100628.0,4584.5,45.56,544358.0,21.0,0.0,2970.0,312.0,236260.0,1630.6,7.05,8988.0,281.3,31.29,238322.25,3594362.0
Connecticut,2013,754901.0,207118.0,15364.3,27.69,34153.0,7679.0,0.0,32.3,4.21,101761.0,4669.1,45.88,560141.0,21.0,0.0,3835.0,402.0,241509.0,1922.3,8.11,10949.0,330.7,30.21,242417.0,3599341.0
Connecticut,2014,750019.0,197271.0,15483.4,27.84,36011.0,9097.0,0.0,38.8,4.27,100157.0,5004.0,49.96,559695.0,21.0,0.0,4127.0,434.0,240614.0,2162.0,9.17,10083.0,329.9,32.71,250763.75,3596677.0
Delaware,2010,250212.0,3575.0,3584.1,23.5,6901.0,30253.0,0.0,101.3,3.35,39599.0,1389.5,35.09,171414.0,414.0,0.0,0.0,0.0,56087.0,524.2,9.37,5323.0,145.8,27.4,57673.75,899731.0
Delaware,2011,272568.0,3976.0,3987.7,25.32,6781.0,17881.0,0.0,61.0,3.41,39181.0,1309.2,33.73,201518.0,401.0,0.0,0.0,0.0,81710.0,708.3,8.92,4730.0,143.4,30.31,59763.25,907829.0
Delaware,2012,273728.0,3530.0,4040.4,24.83,5972.0,17384.0,0.0,58.3,3.35,39304.0,1266.4,32.48,221203.0,430.0,0.0,0.0,0.0,104421.0,747.7,7.43,4306.0,129.8,30.15,60774.25,916881.0
Delaware,2013,273716.0,3818.0,3856.6,24.28,5977.0,18254.0,0.0,58.4,3.2,38719.0,1215.7,32.11,213411.0,430.0,0.0,0.0,0.0,100106.0,701.7,7.86,4675.0,139.5,29.84,61423.75,925240.0
Delaware,2014,274013.0,4189.0,3848.5,23.77,6249.0,10238.0,0.0,31.5,3.08,38687.0,1239.2,33.16,213655.0,430.0,0.0,0.0,0.0,106854.0,752.7,7.83,4872.0,154.3,31.67,65484.75,935614.0
Florida,2010,4282673.0,510201.0,59825.6,22.05,246789.0,637416.0,0.0,2218.8,3.48,788887.0,24459.8,31.01,3491560.0,9516.0,0.0,1731.0,177.0,1180462.0,7967.6,6.91,20915.0,606.1,28.98,729761.5,18852220.0
Florida,2011,4141711.0,500907.0,67345.1,25.41,245557.0,552730.0,0.0,1959.7,3.55,768009.0,23880.2,31.09,3357837.0,9799.0,0.0,1769.0,182.0,1235953.0,7700.7,6.33,19205.0,605.1,31.51,735244.25,19107900.0
Florida,2012,4029903.0,442188.0,66380.0,25.56,244646.0,482984.0,0.0,1697.6,3.51,752941.0,23028.6,30.58,3327632.0,10056.0,0.0,1432.0,151.0,1348390.0,6982.5,5.27,17524.0,466.2,26.6,764645.5,19355257.0
Florida,2013,4076406.0,542570.0,66108.5,25.13,253961.0,505155.0,0.0,1736.5,3.44,757189.0,22678.3,29.95,3273949.0,10056.0,0.0,2425.0,254.0,1245287.0,6852.9,5.59,16807.0,448.1,26.66,797343.5,19600311.0
Florida,2014,4121680.0,553738.0,66413.6,24.91,250043.0,557882.0,0.0,1857.5,3.33,771379.0,24339.3,31.55,3350291.0,10056.0,0.0,2010.0,211.0,1246670.0,7468.0,6.04,16502.0,481.4,29.18,835578.5,19893297.0
Georgia,2010,3100144.0,561796.0,37231.8,18.25,204742.0,767906.0,0.0,2993.6,3.9,479971.0,12409.5,26.07,2324200.0,300.0,0.0,32407.0,3322.0,541691.0,4545.8,8.66,22767.0,561.3,24.68,407999.0,9714464.0
Georgia,2011,2982837.0,549483.0,42315.7,21.49,210583.0,634756.0,0.0,2400.3,3.78,465298.0,13108.5,28.17,2142535.0,291.0,0.0,26282.0,2705.0,532310.0,4165.2,7.98,18607.0,503.2,27.04,418916.5,9813201.0
Georgia,2012,2767491.0,555238.0,39837.2,21.73,207725.0,435546.0,0.0,1529.9,3.51,446900.0,12274.7,27.47,1946907.0,315.0,0.0,21281.0,2236.0,625008.0,3830.1,6.23,20507.0,527.1,25.7,434977.75,9919000.0
Georgia,2013,2782782.0,581082.0,39938.5,21.37,233509.0,426184.0,0.0,1371.6,3.22,445257.0,12647.6,28.41,1928374.0,315.0,0.0,35431.0,3714.0,635287.0,4417.7,7.06,17424.0,433.8,24.9,450933.5,9994759.0
Georgia,2014,2850990.0,597955.0,39727.8,20.95,252985.0,482657.0,0.0,1521.1,3.15,463315.0,13613.7,29.38,1985059.0,315.0,0.0,29142.0,3064.0,666771.0,4963.1,7.52,19087.0,517.8,27.13,471879.5,10097343.0
Hawaii,2010,278046.0,16245.0,5854.8,30.43,10448.0,17117.0,0.0,39.7,2.32,34176.0,2473.3,73.8,259018.0,1964.0,201.0,687.0,70.0,2732.0,94.7,35.29,3155.0,99.1,31.63,67538.5,1363950.0
Hawaii,2011,287113.0,18378.0,7668.6,38.34,10550.0,16080.0,0.0,29.4,1.83,33989.0,3090.5,92.78,265505.0,2183.0,224.0,905.0,93.0,2744.0,116.7,43.43,3397.0,116.1,34.23,69689.25,1378251.0
Hawaii,2012,280171.0,20485.0,7840.3,40.14,9604.0,16572.0,0.0,33.3,2.01,32889.0,3219.0,99.96,256754.0,2491.0,261.0,1090.0,115.0,2813.0,121.9,44.19,3441.0,127.0,36.91,72100.25,1392766.0
